date,price,year
2019-01-10,1288.05,2019
2019-01-11,1287.52,2019
2019-01-14,1291.6,2019
2019-01-15,1289.7,2019
2019-01-16,1293.0,2019
2019-01-17,1292.39,2019
2019-01-18,1281.63,2019
2019-01-21,1279.85,2019
2019-01-22,1284.5,2019
2019-01-23,1283.85,2019
2019-01-24,1281.42,2019
2019-01-25,1303.24,2019
2019-01-28,1303.96,2019
2019-01-29,1310.82,2019
2019-01-30,1319.33,2019
2019-01-31,1321.1,2019
2019-02-01,1317.65,2019
2019-02-04,1311.8,2019
2019-02-05,1315.05,2019
2019-02-06,1306.71,2019
2019-02-07,1310.42,2019
2019-02-08,1314.13,2019
2019-02-11,1307.8,2019
2019-02-12,1310.24,2019
2019-02-13,1307.7,2019
2019-02-14,1312.0,2019
2019-02-15,1321.27,2019
2019-02-18,1326.47,2019
2019-02-19,1339.68,2019
2019-02-20,1340.59,2019
2019-02-21,1325.91,2019
2019-02-22,1327.6,2019
2019-02-25,1327.55,2019
2019-02-26,1329.2,2019
2019-02-27,1321.22,2019
2019-02-28,1314.33,2019
2019-03-01,1293.55,2019
2019-03-04,1287.17,2019
2019-03-05,1288.02,2019
2019-03-06,1287.31,2019
2019-03-07,1286.07,2019
2019-03-08,1298.39,2019
2019-03-11,1292.63,2019
2019-03-12,1302.04,2019
2019-03-13,1309.53,2019
2019-03-14,1296.1,2019
2019-03-15,1302.27,2019
2019-03-18,1303.5,2019
2019-03-19,1306.26,2019
2019-03-20,1315.53,2019
2019-03-21,1308.66,2019
2019-03-22,1313.42,2019
2019-03-25,1321.35,2019
2019-03-26,1316.52,2019
2019-03-27,1309.46,2019
2019-03-28,1291.65,2019
2019-03-29,1292.41,2019
2019-04-01,1287.45,2019
2019-04-02,1291.85,2019
2019-04-03,1292.0,2019
2019-04-04,1292.2,2019
2019-04-05,1291.62,2019
2019-04-08,1298.1,2019
2019-04-09,1304.72,2019
2019-04-10,1308.2,2019
2019-04-11,1292.31,2019
2019-04-12,1290.4,2019
2019-04-15,1288.5,2019
2019-04-16,1276.6,2019
2019-04-17,1274.3,2019
2019-04-18,1274.43,2019
2019-04-22,1274.73,2019
2019-04-23,1271.51,2019
2019-04-24,1274.82,2019
2019-04-25,1278.74,2019
2019-04-26,1286.2,2019
2019-04-29,1280.5,2019
2019-04-30,1283.25,2019
2019-05-01,1277.15,2019
2019-05-02,1270.84,2019
2019-05-03,1276.6,2019
2019-05-06,1282.93,2019
2019-05-07,1284.92,2019
2019-05-08,1281.45,2019
2019-05-09,1283.82,2019
2019-05-10,1286.0,2019
2019-05-13,1301.82,2019
2019-05-14,1297.23,2019
2019-05-15,1296.6,2019
2019-05-16,1285.98,2019
2019-05-17,1277.5,2019
2019-05-20,1277.51,2019
2019-05-21,1274.74,2019
2019-05-22,1274.32,2019
2019-05-23,1284.25,2019
2019-05-24,1292.8,2019
2019-05-27,1285.86,2019
2019-05-28,1279.98,2019
2019-05-29,1279.96,2019
2019-05-30,1290.55,2019
2019-05-31,1305.6,2019
2019-06-03,1325.24,2019
2019-06-04,1325.43,2019
2019-06-05,1331.05,2019
2019-06-06,1333.59,2019
2019-06-07,1340.52,2019
2019-06-10,1329.38,2019
2019-06-11,1327.85,2019
2019-06-12,1333.68,2019
2019-06-13,1344.6,2019
2019-06-14,1341.94,2019
2019-06-17,1339.78,2019
2019-06-18,1345.56,2019
2019-06-19,1357.92,2019
2019-06-20,1391.1,2019
2019-06-21,1399.0,2019
2019-06-24,1425.43,2019
2019-06-25,1418.77,2019
2019-06-26,1410.91,2019
2019-06-27,1411.24,2019
2019-06-28,1409.5,2019
2019-07-01,1385.57,2019
2019-07-02,1431.4,2019
2019-07-03,1418.49,2019
2019-07-04,1421.01,2019
2019-07-05,1399.47,2019
2019-07-08,1394.43,2019
2019-07-09,1395.53,2019
2019-07-10,1422.12,2019
2019-07-11,1404.0,2019
2019-07-12,1426.8,2019
2019-07-15,1415.6,2019
2019-07-16,1405.36,2019
2019-07-17,1424.87,2019
2019-07-18,1443.0,2019
2019-07-19,1418.1,2019
2019-07-22,1423.77,2019
2019-07-23,1417.1,2019
2019-07-24,1425.4,2019
2019-07-25,1415.17,2019
2019-07-26,1418.76,2019
2019-07-29,1424.58,2019
2019-07-30,1430.9,2019
